feature,mean_abs_shap
days_since_last_purchase,0.101540317709793
avg_price_viewed,0.09681383104109495
add_to_cart_30d,0.07201267612968774
views_7d,0.03560670861103718
brand_diversity,0.03507947166107177
orders_12m,0.033559837267995475
age_group_25-34,0.017218985454418242
campaign_clicks,0.014960712809821593
age_group_18-24,0.009890144294523331
region_IT,0.008536006742630742
region_CH,0.008261864449075935
region_AT,0.008140810884118608
age_group_45-54,0.00810291065689602
region_FR,0.006710885940811618
region_DE,0.006358147119431876
age_group_35-44,0.005326283416878491
age_group_55+,0.003811952139798396
